Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Ron,Liepert,Calgary Signal Hill,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Joël,Lightbound,Louis-Hébert,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Dane,Lloyd,Sturgeon River—Parkland,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Ben,Lobb,Huron—Bruce,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Wayne,Long,Saint John—Rothesay,New Brunswick,Liberal,2021-09-20 12:00:00 AM,
,Lloyd,Longfield,Guelph,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Tim,Louis,Kitchener—Conestoga,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Lawrence,MacAulay,Cardigan,Prince Edward Island,Liberal,2021-09-20 12:00:00 AM,
,Heath,MacDonald,Malpeque,Prince Edward Island,Liberal,2021-09-20 12:00:00 AM,
,Alistair,MacGregor,Cowichan—Malahat—Langford,British Columbia,NDP,2021-09-20 12:00:00 AM,
Hon.,Steven,MacKinnon,Gatineau,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Larry,Maguire,Brandon—Souris,Manitoba,Conservative,2021-09-20 12:00:00 AM,
,Shuvaloy,Majumdar,Calgary Heritage,Alberta,Conservative,2023-07-24 12:00:00 AM,
,James,Maloney,Etobicoke—Lakeshore,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Richard,Martel,Chicoutimi—Le Fjord,Quebec,Conservative,2021-09-20 12:00:00 AM,
Hon.,Soraya,Martinez Ferrada,Hochelaga,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Brian,Masse,Windsor West,Ontario,NDP,2021-09-20 12:00:00 AM,
,Lindsay,Mathyssen,London—Fanshawe,Ontario,NDP,2021-09-20 12:00:00 AM,
,Bryan,May,Cambridge,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Elizabeth,May,Saanich—Gulf Islands,British Columbia,Green Party,2021-09-20 12:00:00 AM,
,Dan,Mazier,Dauphin—Swan River—Neepawa,Manitoba,Conservative,2021-09-20 12:00:00 AM,
,Kelly,McCauley,Edmonton West,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Ken,McDonald,Avalon,Newfoundland and Labrador,Liberal,2021-09-20 12:00:00 AM,
